attendance,study_hours,previous_score,assignment_score,internal_score,practical_score,participation,gpa,final_score
81.7,10.8,63.2,75.8,67.0,55.1,59.0,7.17,67.4
65.5,8.1,60.0,62.8,64.2,46.8,43.3,7.09,63.0
87.0,9.3,76.5,92.2,74.3,56.1,67.2,8.16,79.5
89.3,13.5,73.8,56.3,94.7,71.6,72.4,8.3,72.1
54.6,11.0,48.9,43.4,62.5,48.5,20.0,6.51,50.4
62.4,12.4,86.8,65.0,69.3,50.5,57.4,8.97,58.2
79.5,13.7,68.6,45.8,66.2,46.7,47.4,7.32,62.8
74.2,9.5,53.3,65.9,60.8,54.5,32.0,6.58,53.5
77.8,14.0,87.8,72.8,70.9,63.8,57.8,8.74,72.9
67.8,12.5,79.4,74.8,80.5,67.3,58.4,8.31,62.6
88.6,6.1,51.0,82.7,60.2,55.8,29.4,6.7,62.1
87.3,16.8,96.7,80.2,90.3,68.4,78.6,9.12,76.0
78.8,9.0,79.9,67.3,77.0,48.4,61.6,8.36,69.1
91.5,4.4,69.8,71.6,81.4,71.7,49.7,8.06,62.2
83.6,6.8,93.9,90.8,79.0,70.7,38.6,9.3,71.9
67.7,6.9,72.4,57.8,61.0,50.2,30.2,7.77,64.0
82.4,11.2,69.6,60.8,82.1,51.9,70.6,8.79,71.2
66.5,9.9,60.1,66.9,66.6,47.1,28.1,7.72,64.1
88.5,9.7,78.7,78.1,70.8,52.8,71.1,8.24,79.5
77.4,13.5,77.1,49.1,72.6,75.2,56.9,8.44,64.5
75.8,12.4,70.2,52.9,69.5,53.8,55.1,8.13,71.6
69.8,12.3,58.2,71.4,63.1,65.8,31.3,8.0,54.4
92.7,12.6,71.9,76.0,61.7,62.1,62.5,8.08,74.8
76.1,13.5,69.0,57.0,54.2,52.0,66.5,8.36,60.9
72.9,2.6,50.0,51.3,40.9,35.9,20.0,7.14,41.2
73.8,9.5,47.9,52.3,45.0,21.5,56.9,7.71,53.8
84.4,2.3,78.5,80.1,60.6,53.7,43.2,9.13,69.6
82.4,11.1,31.0,32.3,54.8,42.1,48.8,6.47,52.9
83.0,11.0,73.1,60.8,68.7,70.9,68.2,8.17,69.5
83.2,15.2,62.8,66.4,70.3,44.3,36.1,8.05,66.2
100.0,15.8,89.6,83.3,76.4,90.8,77.9,9.15,87.4
73.1,11.8,62.6,65.7,58.5,65.2,75.2,8.45,65.4
71.9,9.0,79.9,56.8,74.0,73.6,67.3,8.49,70.2
68.2,12.9,64.0,62.7,68.2,57.5,59.1,7.52,64.2
85.4,8.9,71.7,80.2,62.1,70.2,50.5,8.04,72.7
91.5,11.0,81.1,81.5,78.2,53.3,52.7,8.2,66.0
76.6,14.9,63.1,62.9,86.3,68.8,57.4,8.01,68.3
67.9,8.8,84.9,69.5,69.7,54.6,53.4,8.27,60.0
68.1,14.2,55.1,45.8,53.1,39.0,45.8,7.79,56.3
85.8,13.7,74.4,70.2,72.4,55.9,73.1,7.8,79.8
86.9,7.2,83.8,89.1,74.6,63.8,79.8,8.87,72.7
84.5,14.9,79.9,72.3,75.9,62.5,64.0,9.13,75.2
70.0,13.8,98.7,69.9,81.1,78.8,38.9,8.32,79.8
80.8,11.4,58.5,55.6,49.6,38.1,39.4,8.51,47.0
79.4,8.0,49.3,56.9,46.2,26.3,60.1,6.98,49.9
80.6,7.6,55.1,54.8,56.4,63.7,49.1,7.51,59.4
88.5,8.8,79.9,79.8,72.1,73.3,67.1,8.91,59.2
80.7,13.2,77.5,76.1,68.4,56.3,53.1,8.78,65.9
86.1,7.2,71.5,78.4,65.8,58.0,62.5,8.38,73.2
78.8,12.8,53.2,71.1,61.0,65.2,56.4,7.79,68.2
81.5,6.0,81.5,83.3,78.0,64.4,38.0,8.88,72.4
85.6,10.2,51.6,49.0,58.7,54.1,51.6,8.14,62.4
60.5,11.4,87.4,60.2,74.6,76.1,32.3,8.89,68.7
74.2,20.8,100.0,80.2,84.0,77.5,96.6,10.0,88.8
72.4,5.5,75.5,62.3,69.0,55.3,41.2,8.67,60.5
70.3,16.9,78.7,56.5,77.4,69.6,70.4,7.58,71.6
74.7,11.6,62.6,56.2,70.8,54.3,47.5,8.89,59.1
95.9,12.6,42.8,52.4,66.7,49.7,52.3,6.82,66.3
67.6,11.5,61.0,50.5,65.2,55.5,48.0,8.23,66.4
89.6,12.8,53.6,57.7,63.0,57.7,77.6,7.5,70.8
57.8,10.4,48.3,58.6,52.0,35.3,37.9,7.34,48.3
74.0,16.8,95.8,80.6,93.1,86.1,52.2,8.89,77.6
80.0,9.2,74.1,93.5,62.5,50.6,54.5,8.58,75.4
85.0,15.5,75.7,73.1,70.1,67.5,72.7,8.31,76.6
86.5,8.4,65.4,63.3,67.0,53.9,75.5,8.69,66.9
87.5,10.8,67.4,67.7,72.3,64.3,63.3,8.28,65.4
73.8,6.7,84.5,74.9,62.3,39.6,53.7,9.11,67.7
72.5,12.8,69.5,67.9,66.1,70.1,65.0,7.02,61.4
88.3,16.8,78.0,94.5,78.0,66.1,54.9,8.53,82.2
75.7,10.7,67.1,54.9,44.9,70.3,40.8,8.11,66.8
62.7,10.2,64.9,66.2,57.4,49.2,32.5,7.77,66.2
64.4,6.5,48.9,51.5,47.6,42.2,23.4,7.41,51.4
67.0,10.1,40.3,29.9,46.9,62.8,58.6,6.45,41.0
84.0,4.6,66.1,73.4,74.7,49.3,49.9,8.0,64.7
79.7,7.3,70.8,79.5,54.3,69.0,50.1,8.68,76.0
86.3,11.9,50.7,49.5,53.3,54.8,26.6,6.29,52.0
72.9,16.3,69.5,63.6,46.1,69.5,88.8,8.27,66.4
79.9,22.2,70.8,49.7,72.8,75.2,64.4,7.99,79.3
85.5,8.7,37.7,38.1,47.8,52.9,80.7,6.31,54.6
74.3,16.7,56.3,67.4,59.2,53.4,44.7,7.58,75.2
83.5,12.0,76.1,66.4,82.6,55.5,48.6,8.98,66.9
70.1,10.4,75.8,55.1,75.0,54.2,21.6,8.72,58.1
73.6,12.7,52.7,57.1,59.3,54.7,60.8,7.19,65.1
73.4,11.2,72.4,60.3,63.9,58.5,39.0,8.53,57.6
63.6,11.4,85.3,64.5,80.2,72.0,35.3,8.99,68.0
83.8,9.4,81.7,81.6,73.3,77.8,36.7,8.64,72.4
72.4,5.4,68.6,51.4,53.0,42.1,52.4,7.64,60.9
78.1,4.8,63.0,52.9,43.3,42.4,53.1,7.49,57.1
83.8,13.6,60.6,64.2,62.3,46.0,85.8,8.11,67.7
83.4,9.9,77.0,81.2,78.2,83.5,46.4,8.45,71.3
86.0,8.6,72.9,82.6,89.6,63.4,57.0,7.84,78.7
76.8,11.0,79.4,63.9,72.1,69.2,37.7,7.74,88.2
72.9,14.2,72.0,74.5,62.3,50.6,54.0,8.49,70.4
77.0,11.7,82.3,64.4,63.0,66.5,49.0,8.38,69.0
57.8,8.4,71.4,77.8,64.7,58.8,47.1,8.06,55.6
60.6,15.9,81.8,54.9,55.9,65.5,69.1,8.97,63.1
62.1,17.3,83.1,80.7,79.0,81.3,72.0,7.89,74.7
66.0,13.0,57.9,48.4,66.5,78.0,42.1,7.38,57.0
82.8,14.9,42.9,72.7,62.1,44.3,77.0,6.85,61.9
67.1,16.0,93.2,80.6,77.5,64.3,58.4,9.17,85.4
73.5,15.5,73.8,56.2,76.5,57.8,56.8,8.76,74.5
93.6,13.5,44.3,51.9,62.5,70.9,57.1,6.52,60.7
73.7,13.4,59.3,66.2,55.5,67.9,50.0,7.81,56.4
86.9,13.1,81.6,85.8,94.0,68.4,85.3,9.18,87.2
66.8,6.6,65.8,58.9,55.1,51.3,46.0,7.68,56.3
75.5,13.8,62.3,61.2,71.8,51.5,61.1,7.65,55.8
66.6,5.6,91.0,81.0,48.2,69.9,36.6,9.08,69.3
73.9,7.8,54.3,57.1,67.1,44.8,79.1,7.49,63.3
88.1,16.2,58.0,49.8,81.6,60.6,85.8,7.93,56.5
57.3,14.4,73.2,52.2,65.5,67.7,42.2,8.23,58.2
83.2,16.9,75.9,73.2,81.5,69.2,64.4,7.97,75.0
80.9,9.9,77.4,83.0,75.9,60.6,51.4,8.9,75.1
